Threshold,Precision,Recall,F1 Score,% Flagged,False Positives,False Negatives,Estimated Business Cost,Is Selected Threshold
0.05,0.297,0.99,0.456,0.871,1471,6,1489,False
0.1,0.375,0.946,0.537,0.658,987,34,1089,False
0.15,0.447,0.882,0.594,0.514,682,74,904,False
0.2,0.491,0.81,0.612,0.43,525,119,882,False
0.21,0.504,0.791,0.615,0.41,488,131,881,True
0.25,0.537,0.732,0.619,0.355,395,168,899,False
0.3,0.579,0.688,0.629,0.31,314,195,899,False
0.35,0.611,0.609,0.61,0.26,243,245,978,False
0.4,0.639,0.545,0.588,0.222,193,285,1048,False
0.45,0.673,0.494,0.57,0.191,150,317,1101,False
0.5,0.683,0.441,0.536,0.168,128,350,1178,False
0.55,0.7,0.391,0.502,0.146,105,381,1248,False
0.6,0.746,0.337,0.464,0.118,72,415,1317,False
0.65,0.759,0.288,0.417,0.099,57,446,1395,False
0.7,0.77,0.23,0.354,0.078,43,482,1489,False
0.75,0.813,0.195,0.314,0.062,28,504,1540,False
0.8,0.819,0.137,0.235,0.044,19,540,1639,False
0.85,0.879,0.093,0.168,0.028,8,568,1712,False
0.9,0.962,0.04,0.077,0.011,1,601,1804,False
0.95,1.0,0.005,0.01,0.001,0,623,1869,False
